Precinct,Race,LEG,CC,CG,CounterGroup,Party,CounterType,SumOfCount
ADAIR,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,45,3,1,Total,NP,No,426
ADAIR,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,45,3,1,Total,NP,Registered Voters,900
ADAIR,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,45,3,1,Total,NP,Times Blank Voted,0
ADAIR,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,45,3,1,Total,NP,Times Counted,612
ADAIR,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,45,3,1,Total,NP,Times Over Voted,0
ADAIR,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,45,3,1,Total,NP,Yes,186
ADAIR,"Lake Washington School District No. 414 Proposition No. 1 General Obligation Bonds - $404,000,000",45,3,1,Total,NP,Approved,122
ADAIR,"Lake Washington School District No. 414 Proposition No. 1 General Obligation Bonds - $404,000,000",45,3,1,Total,NP,Registered Voters,516
ADAIR,"Lake Washington School District No. 414 Proposition No. 1 General Obligation Bonds - $404,000,000",45,3,1,Total,NP,Rejected,237
ADAIR,"Lake Washington School District No. 414 Proposition No. 1 General Obligation Bonds - $404,000,000",45,3,1,Total,NP,Times Blank Voted,0
ADAIR,"Lake Washington School District No. 414 Proposition No. 1 General Obligation Bonds - $404,000,000",45,3,1,Total,NP,Times Counted,359
ADAIR,"Lake Washington School District No. 414 Proposition No. 1 General Obligation Bonds - $404,000,000",45,3,1,Total,NP,Times Over Voted,0
ALDARRA,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,5,3,8,Total,NP,No,223
ALDARRA,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,5,3,8,Total,NP,Registered Voters,720
ALDARRA,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,5,3,8,Total,NP,Times Blank Voted,0
ALDARRA,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,5,3,8,Total,NP,Times Counted,303
ALDARRA,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,5,3,8,Total,NP,Times Over Voted,0
ALDARRA,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,5,3,8,Total,NP,Yes,80
ALDER SPRINGS,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,45,3,1,Total,NP,No,169
ALDER SPRINGS,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,45,3,1,Total,NP,Registered Voters,547
