OBJECT,FULLOBJECT,THEME,TITLE,ABSTRACT
aarroutes,aarroutes_line,transportation,Adopt-a-Road Routes,Routes in the Adopt-A-Road program (litter reduction); whether they are active and if so; which group currently has the route adopted.
acs0509_age_poverty_income_p1,acs0509_age_poverty_income_p1,census,ACS: Age By Ratio Of Income To Poverty Level In The Past 12 Months-Part 1 (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Poverty subject area. Provides information about: Age By Ratio Of Income To Poverty Level In The Past 12 Months-Part 1 for the universe of: Population for whom poverty status is determined. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_age_poverty_income_p2,acs0509_age_poverty_income_p2,census,ACS: Age By Ratio Of Income To Poverty Level In The Past 12 Months-Part 2 (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Poverty subject area. Provides information about: Age By Ratio Of Income To Poverty Level In The Past 12 Months-Part 2 for the universe of: Population for whom poverty status is determined. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_aggr_gross_rent,acs0509_aggr_gross_rent,census,ACS: Aggregate Gross Rent (Dollars) (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Housing subject area. Provides information about: Aggregate Gross Rent (Dollars) for the universe of: Renter-occupied housing units paying cash rent. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_aggr_num_rooms,acs0509_aggr_num_rooms,census,ACS: Aggregate Number Of Rooms (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Housing subject area. Provides information about: Aggregate Number Of Rooms for the universe of: Housing units. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_birthplace_age,acs0509_birthplace_age,census,ACS: Place Of Birth By Age In The United States (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Place of Birth - Native subject area. Provides information about: Place Of Birth By Age In The United States for the universe of: Total population in the United States. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_birthplace_citizenship,acs0509_birthplace_citizenship,census,ACS: Place Of Birth By Citizenship Status (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Foreign Birth subject area. Provides information about: Place Of Birth By Citizenship Status for the universe of: Total population. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_chldrn_family_type_age,acs0509_chldrn_family_type_age,census,ACS: Own Children Under 18 Years By Family Type And Age (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Children - Relationship subject area. Provides information about: Own Children Under 18 Years By Family Type And Age for the universe of: Own children under 18 years. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_citizenship_status,acs0509_citizenship_status,census,ACS: Citizenship Status In The United States (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Foreign Birth subject area. Provides information about: Citizenship Status In The United States for the universe of: Total population in the United States. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_contract_rent,acs0509_contract_rent,census,ACS: Contract Rent (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Housing subject area. Provides information about: Contract Rent for the universe of: Renter-occupied housing units. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
