,ID,,,,STUDY TITLE,,,,COMPKEY,,"UNITID/
UNITID2",,,"DIR
FLOW",LANE,START DATE,AMPK,,PMPK,AWDT,,ADT,,,"WEEK
DAYS",DAYS
,211805,,,,"10TH AVE E, N/O E ALOHA ST",,,,1291,,00150/0090,,,S,STANDARD,25-Apr-2007,548,,617,"7,485",,"7,165",,,5,7
,211807,,,,"10TH AVE E, N/O E BOSTON ST",,,,1299,,00150/0220,,,S,STANDARD,25-Apr-2007,739,,761,"9,246",,"8,790",,,5,7
,211811,,,,"10TH AVE E, N/O E MILLER ST",,,,1301,,00150/0240,,,S,STANDARD,25-Apr-2007,741,,829,"9,820",,"9,310",,,5,7
,214503,,,,"10TH AVE E, N/O E PROSPECT ST",,,,1292,,00150/0110,,,S,STANDARD,23-Jun-2008,438,,569,"6,878",,"6,546",,,5,7
,212040,,,,"10TH AVE E, S/O E ALOHA ST",,,,1290,,00150/0070,,,N,STANDARD,24-May-2007,414,,628,"7,039",,"6,569",,,4,6
,206997,,,,"10TH AVE E, S/O E BOSTON ST",,,,1298,,00150/0200,,,S,STANDARD,23-May-2005,569,,645,"7,818",,"7,147",,,5,7
,206996,,,,"10TH AVE E, S/O E BOSTON ST",,,,1298,,00150/0200,,,N,STANDARD,23-May-2005,485,,673,"7,789",,0,,,5,5
,210586,,,,"10TH AVE E, S/O E BOSTON ST",,,,1298,,00150/0200,,,N,STANDARD,18-Oct-2006,490,,701,"7,751",,"7,423",,,5,7
,210587,,,,"10TH AVE E, S/O E BOSTON ST",,,,1298,,00150/0200,,,S,STANDARD,18-Oct-2006,654,,673,"7,815",,"7,460",,,5,7
,211774,,,,"10TH AVE E, S/O E BOSTON ST",,,,1298,,00150/0200,,,N,STANDARD,18-Apr-2007,484,,655,"7,486",,"7,171",,,5,7
,211775,,,,"10TH AVE E, S/O E BOSTON ST",,,,1298,,00150/0200,,,S,STANDARD,18-Apr-2007,638,,645,"7,643",,"7,240",,,5,7
,214703,,,,"10TH AVE E, S/O E BOSTON ST",,,,1298,,00150/0200,,,N,STANDARD,29-Jul-2008,454,,636,"7,118",,"6,695",,,5,7
,214704,,,,"10TH AVE E, S/O E BOSTON ST",,,,1298,,00150/0200,,,S,STANDARD,29-Jul-2008,421,,588,"6,898",,"6,459",,,5,7
,217284,,,,"10TH AVE E, S/O E BOSTON ST",,,,1298,,00150/0200,,,N,STANDARD,06-Aug-2009,376,,543,"6,390",,"6,105",,,5,7
,217285,,,,"10TH AVE E, S/O E BOSTON ST",,,,1298,,00150/0200,,,S,STANDARD,06-Aug-2009,424,,587,"6,866",,"6,459",,,5,7
,300936,,,,"10TH AVE E, S/O E BOSTON ST",,,,1298,,00150/0200,,,S,STANDARD,28-Oct-2010,416,,497,"6,318",,"6,164",,,5,7
,300935,,,,"10TH AVE E, S/O E BOSTON ST",,,,1298,,00150/0200,,,N,STANDARD,28-Oct-2010,513,,601,"6,776",,"6,547",,,5,7
,302673,,,,"10TH AVE E, S/O E BOSTON ST",,,,1298,,00150/0200,,,TOTAL,STANDARD,27-Jan-2011,946,,"1,122","12,994",,"12,407",,,5,7
,301541,,,,"10TH AVE E, S/O E BOSTON ST",,,,1298,,00150/0200,,,S,STANDARD,27-Jan-2011,522,,616,"6,702",,"6,371",,,5,7
,301540,,,,"10TH AVE E, S/O E BOSTON ST",,,,1298,,00150/0200,,,N,STANDARD,27-Jan-2011,425,,522,"6,292",,"6,036",,,5,7
,308908,,,,"10TH AVE E, S/O E BOSTON ST",,,,1298,,00150/0200,,,S,STANDARD,22-Aug-2012,395,,603,"6,321",,"6,079",,,5,7
,308907,,,,"10TH AVE E, S/O E BOSTON ST",,,,1298,,00150/0200,,,N,STANDARD,22-Aug-2012,682,,"1,014","11,817",,"11,562",,,5,7
,311550,,,,"10TH AVE E, S/O E BOSTON ST",,,,1298,,00150/0200,,,S,STANDARD,24-Jun-2013,451,,694,"6,917",,"6,401",,,5,7
